,Title,Album,Artist,Duration (ms),Rating,Play Count,Removed
0,Bairaagi feat. Samira Koppikar (Bareilly Ki Barfi),Barielly Ki Barfi,Samira Koppikar,224000,0,1,
0,Bajaake Tumba,Phillauri,Shehnaz Akhtar,197000,0,0,
0,Bakheda,Toilet - Ek Prem Katha,Sunidhi Chauhan,206000,0,1,
0,Bakhuda Tumhi Ho (From &#39;&#39;Kismat Konnection&#39;&#39;),Kismat Konnection,Pritam,289000,0,3,
0,Bakhuda Tumhi Ho (Remix),Kismat Konnection,Pritam,289000,1,2,
0,Balam Pichkari,Yeh Jawaani Hai Deewani,Shalmali Kholgade,288000,0,4,
0,Balma (Pataakha),Pataakha,"Rekha Bhardwaj, Sunidhi Chauhan",231000,0,1,
0,Ban Titli (Gratis) (Manto),Manto,Rekha Bhardwaj,138000,0,1,
0,Band Baaja Baaraat (Theme),Band Baaja Baaraat,"Salim Merchant,Shraddha Pandit",112000,0,0,
0,Bande Hain Hum Uske,Dhoom 3,"Anish Sharma,Shivam Mahadevan",184000,0,2,
0,Bande Mein Tha Dum Vande Mataram (Instrumental),Lage Raho Munna Bhai,Ashvini Shrinivasan,196000,1,3,
0,Bande Mein Tha Dum Vande Mataram,Lage Raho Munna Bhai,Sonu Nigam,243000,0,1,
0,Bandook,Phamous,Vishal Dadlani,237000,0,0,
0,Banjaara,Bollywood Unplugged,Shashaa Tirupathi,242000,0,2,
0,Banjara,Chef,Vishal Dadlani,253000,0,11,
0,Banjara,Rock @ Coke Studio India,Clinton Cerejo,498000,0,0,
0,Bapu Zimidar,Jassi Gill - My Favourites,Jassi Gill,351000,0,2,
0,Barfani (Female Vocals),Babumoshai Bandookbaaz (Original Motion Picture Soundtrack),Orunima Bhattacharya,274000,0,2,
0,Barfani,Babumoshai Bandookbaaz (Original Motion Picture Soundtrack),Armaan Malik,283000,0,2,
0,Barso Re,Guru (Original Motion Picture Soundtrack),Shreya Ghoshal,329000,0,1,
0,Bass Gira De Raja (Veere Di Wedding),Veere Di Wedding,Shashwat Sachdev,212000,0,0,
0,Be Intehaan - Remix (Remix),Race 2,Atif Aslam,315000,1,0,
0,Be Intehaan - Unplugged (Unplugged),Race 2,Rahul Vaidya,239000,1,0,
0,Be Intehaan,Race 2 (Original Motion Picture Soundtrack),Atif Aslam &amp; Sunidhi Chauhan,289000,5,7,
0,Be Intehaan,Race 2,Sunidhi Chauhan,290000,0,0,
0,Be Still,Rangoon,Dominique Cerejo,188000,0,1,
0,Beat It (Demo),Michael Jackson&#39;s This Is It,Michael Jackson,123000,0,0,Yes
0,Beat It (Single Version),Michael Jackson&#39;s This Is It,Michael Jackson,257000,0,0,Yes
0,Beat It (Single Version),Number Ones,Michael Jackson,257000,0,1,
0,Beat It (Single Version),Thriller,Michael Jackson,258000,0,0,
0,Beat Of Passion,Taal,Instrumental,171000,0,1,
0,Because (Remastered),Abbey Road (Remastered),The Beatles,165000,0,8,
0,Beda Paar,Fukrey,Tarannum Mallik,242000,0,1,
0,Beech Beech Mein,Jab Harry Met Sejal (Original Motion Picture Soundtrack),Arijit Singh,205000,0,3,
0,Beedi,Omkara,Vishal Bhardwaj,352208,0,0,
0,Beedio Call,Con.Fi.Den.Tial,Diljit Dosanjh,213000,0,0,
0,Beedo,Gulaal,Rekha Bhardwaj,301000,0,1,
0,Beera Beera,Raavan,Vijay Prakash,193000,5,3,
0,Behene De,Raavan,Karthik,362000,0,0,
0,Behka,Ghajini,Karthik,311000,5,28,
0,Behooda,Raman Raghav 2.0,Nayantara Bhatkal,190000,5,15,
0,Behroopia,Bombay Velvet,Mohit Chauhan &amp; Neeti Mohan,291422,5,20,
